individual,species,sample
NJc17,Crepidula convexa,NewJ_conv
NJc18,Crepidula convexa,NewJ_conv
NJc19,Crepidula convexa,NewJ_conv
NJc20,Crepidula convexa,NewJ_conv
NJc22,Crepidula convexa,NewJ_conv
NJc23,Crepidula convexa,NewJ_conv
NJc24,Crepidula convexa,NewJ_conv
NJc25,Crepidula convexa,NewJ_conv
NJc26,Crepidula convexa,NewJ_conv
NJc27,Crepidula convexa,NewJ_conv
NJc28,Crepidula convexa,NewJ_conv
NJc29,Crepidula convexa,NewJ_conv
NYc1,Crepidula convexa,NewY_conv
NYc2,Crepidula convexa,NewY_conv
NYc3,Crepidula convexa,NewY_conv
NYc4,Crepidula convexa,NewY_conv
NYc5,Crepidula convexa,NewY_conv
NYc6,Crepidula convexa,NewY_conv
NYc7,Crepidula convexa,NewY_conv
NYc8,Crepidula convexa,NewY_conv
NYc9,Crepidula convexa,NewY_conv
NYc10,Crepidula convexa,NewY_conv
NYc11,Crepidula convexa,NewY_conv
NYc12,Crepidula convexa,NewY_conv
NYc13,Crepidula convexa,NewY_conv
NYc14,Crepidula convexa,NewY_conv
NYc15,Crepidula convexa,NewY_conv
